run,frequency_hz,gain_db
1,19827.97159437047,-19.72065348503067
1,19903.94031070255,-19.71990584151801
1,19980.20009290759,-19.72862081315735
1,20056.75205617283,-19.71382735849387
1,20133.5973199582,-19.71314301511193
1,20210.73700801275,-19.70399459917432
1,20288.17224839105,-19.68847275853988
1,20365.90417346966,-19.71019307236029
1,20443.93391996375,-19.70679746415408
1,20522.26262894367,-19.69638121779706
1,20600.89144585167,-19.69837813312676
1,20679.82152051862,-19.67603022599692
1,20759.05400718087,-19.69265410150302
1,20838.59006449708,-19.67203450277074
1,20918.43085556517,-19.7003668835025
1,20998.57754793939,-19.6647554713664
1,21079.0313136473,-19.66973969747454
1,21159.79332920699,-19.67019310555363
1,21240.86477564422,-19.67229024903768
1,21322.24683850976,-19.67353348767018
1,21403.94070789664,-19.66113290448118
1,21485.94757845765,-19.66045588634818
1,21568.26864942273,-19.66570101841367
1,21650.90512461657,-19.65128979095358
1,21733.85821247613,-19.66513277029635
1,21817.12912606843,-19.65046169269292
1,21900.71908310818,-19.64205339008653
1,21984.62930597564,-19.63798473168551
1,22068.86102173449,-19.63721635091952
1,22153.41546214978,-19.64264588434492
1,22238.29386370593,-19.63051954185826
1,22323.4974676248,-19.62400315141658
1,22409.02751988388,-19.61448884394699
1,22494.88527123445,-19.62135621599258
1,22581.07197721997,-19.62495947444217
1,22667.58889819432,-19.60826279718881
1,22754.43729934031,-19.59505183401602
1,22841.61845068817,-19.6022228916054
1,22929.13362713408,-19.6039736891359
1,23016.98410845889,-19.58905358305618
1,23105.17117934677,-19.60381919409655
1,23193.69612940402,-19.59141460444001
1,23282.5602531779,-19.59452244553413
1,23371.76485017563,-19.60375422626839
1,23461.31122488333,-19.58429189650566
1,23551.20068678512,-19.56824160127827
1,23641.43455038226,-19.57729945225888
1,23732.01413521238,-19.57317200122809
1,23822.94076586877,-19.57523299444187
1,23914.21577201979,-19.5729946323998
1,24005.84048842823,-19.55168268365021
1,24097.8162549709,-19.5620063618824
1,24190.14441665822,-19.55756206770147
1,24282.82632365384,-19.55771488474297
1,24375.86333129444,-19.55587290411857
1,24469.25680010949,-19.53125057998848
1,24563.00809584124,-19.55116287593338
1,24657.11858946456,-19.53051068599727
1,24751.58965720714,-19.52333343070327
1,24846.42268056946,-19.51816686697109
1,24941.61904634513,-19.52159673026112
1,25037.18014664107,-19.52349507940907
1,25133.10737889792,-19.52596897156947
1,25229.40214591047,-19.51854054789736
1,25326.06585584814,-19.51566830368164
1,25423.09992227564,-19.50323731315776
1,25520.50576417355,-19.5120631887873
1,25618.28480595916,-19.4952163355343
1,25716.43847750723,-19.49649089020822
1,25814.96821417097,-19.48355383751387
1,25913.87545680293,-19.47881378440312
1,26013.16165177618,-19.48437687950104
1,26112.82825100539,-19.47527865317096
1,26212.8767119681,-19.46624385948565
1,26313.30849772599,-19.48215053069798
1,26414.12507694633,-19.46639664765658
1,26515.32792392339,-19.46052132281254
1,26616.91851860008,-19.45036063251703
1,26718.89834658954,-19.46372268133313
1,26821.26889919685,-19.45774072921782
1,26924.0316734409,-19.44842393461132
1,27027.1881720762,-19.43474315231263
1,27130.73990361496,-19.4347428212791
1,27234.68838234903,-19.43373179164411
1,27339.03512837215,-19.43587538102652
1,27443.78166760211,-19.43187583212442
1,27548.92953180308,-19.41829438962316
1,27654.48025860805,-19.40954740299927
1,27760.43539154125,-19.39660280159879
1,27866.79648004079,-19.39577214891063
1,27973.56507948125,-19.39995140906507
1,28080.74275119647,-19.4112138282394
1,28188.33106250238,-19.40279015054455
1,28296.33158671989,-19.40008898840779
1,28404.74590319796,-19.38559359317334
1,28513.5755973366,-19.37181054774722
1,28622.82226061014,-19.38325540516274
1,28732.48749059046,-19.37514743255789
1,28842.57289097037,-19.3610357763461
1,28953.08007158705,-19.35462407381983
1,29064.0106484456,-19.35345700832853
1,29175.36624374267,-19.34360993047398
1,29287.14848589016,-19.3447710992207
1,29399.35900953908,-19.35147750713149
1,29511.9994556034,-19.34023521487549
1,29625.07147128411,-19.32966958299984
1,29738.57671009324,-19.33153516929588
1,29852.51683187809,-19.3131665229808
1,29966.89350284545,-19.31109589838908
1,30081.70839558606,-19.31333507000983
1,30196.96318909896,-19.30709616508379
1,30312.65956881609,-19.30154483662779
1,30428.79922662699,-19.29228478975874
1,30545.38386090344,-19.27526429742347
1,30662.41517652437,-19.29020586548991
1,30779.89488490076,-19.27908684060953
1,30897.82470400068,-19.27627563143515
1,31016.20635837439,-19.27948787662334
1,31135.04157917961,-19.27092779922375
1,31254.33210420679,-19.25659308304315
1,31374.0796779045,-19.25048033669174
1,31494.28605140504,-19.24661265508292
1,31614.95298254993,-19.24576985468401
1,31736.08223591568,-19.24137395234789
1,31857.6755828396,-19.22450855466448
1,31979.73480144567,-19.2143959401398
1,32102.26167667057,-19.21804393254923
1,32225.25800028976,-19.22193043795055
1,32348.7255709437,-19.20168006733635
1,32472.66619416414,-19.21086065462438
1,32597.08168240053,-19.19233270250866
1,32721.97385504652,-19.18397865614349
1,32847.34453846659,-19.18169722717177
1,32973.1955660227,-19.17745335820506
1,33099.52877810116,-19.17049441674155
1,33226.34602213954,-19.17194444857832
1,33353.64915265362,-19.15838195080685
1,33481.44003126458,-19.16283396157371
1,33609.7205267262,-19.1536406728349
1,33738.49251495218,-19.13208452723353
1,33867.75787904359,-19.13965017014244
1,33997.5185093164,-19.12956114276511
1,34127.77630332909,-19.11227705951372
1,34258.53316591046,-19.10616052492049
1,34389.79100918744,-19.10289960248468
1,34521.55175261307,-19.08717272298074
1,34653.81732299458,-19.09268316902047
1,34786.58965452151,-19.08913249814131
1,34919.87068879408,-19.08511605630445
1,35053.66237485153,-19.07640712331447
1,35187.96666920062,-19.05958446843438
1,35322.78553584426,-19.05831191224609
1,35458.12094631022,-19.05282133960567
1,35593.97487967996,-19.0257462424196
1,35730.34932261761,-19.02936744917879
1,35867.24626939894,-19.02144437655371
1,36004.66772194058,-19.02203647791794
1,36142.61568982932,-19.0112662292478
1,36281.09219035143,-19.00050497592107
1,36420.09924852219,-19.0059327563213
1,36559.63889711554,-18.99288936135822
1,36699.71317669373,-18.98807231149037
